year,lgID,teamID,franchID,team name,park name,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path,pt_level,pt_id
2026,MLB,,,None,Heinsohn Ballpark,0,0,0,0,0,,,,9000,o,g,310,345,390,410,390,345,310,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,default_major,-1,1
2026,MLB,ARI,ARI,Arizona Diamondbacks,Chase Field,2393973,1.031476736,1,1,0.910726309,ARI,ARI,ARI,48635,r,t,328,352,376,407,375,354,335,8,8,8,25,8,8,8,1.016305208,1.039151311,1.192382216,0.884817123,1.032693744,1.053148866,1.202558041,0.922696888,1.031476736,1.053587675,1.204620361,0.910726309,chase_field,0,2
2026,MLB,ATH,OAK,Athletics,Sutter Health Park,768464,1.022815108,1,1,1.025062799,OAK,OAK,OAK,14014,o,g,330,371,392,403,385,371,328,7,7,7,7,7,7,7,1.00358665,1.058565736,1.046153903,1.036783457,1.03431201,1.069267869,0.912041903,1.017427444,1.022815108,1.065230489,0.955319166,1.025062799,sutter_health_park,0,3
2026,MLB,ATL,ATL,Atlanta Braves,Truist Park,2903167,1.011191607,1,1,0.988516569,ATL,ATL,ATL,41151,o,g,335,360,385,400,375,360,325,6,9,9,9,9,16,16,1.017993808,0.966605186,0.914044082,0.993645966,0.994756997,0.986852348,1.111389041,0.97311902,1.011191607,0.986133695,1.001039386,0.988516569,truist_park,0,4
2026,MLB,BAL,BAL,Baltimore Orioles,Oriole Park at Camden Yards,0,1.028247714,1,1,0.994504988,BAL,BAL,BAL,45973,o,g,333,349,364,400,373,346,318,7,7,7,7,7,25,25,1.030292034,0.952048063,0.910870194,1.059850574,1.034236431,0.979662418,1.197125077,0.944839299,1.028247714,0.963363409,1.013375759,0.994504988,oriole_park_at_camden_yards,0,5
2026,MLB,BOS,BOS,Boston Red Sox,Fenway Park,0,1.036483645,1,1,0.977047563,BOS,BOS,BOS,37501,o,g,310,335,379,390,383,380,302,37,37,18,9,9,3,3,1.037544608,1.179594398,1.139308333,0.949590623,1.047479868,1.038815975,1.185153842,1.010430932,1.036483645,1.089584947,1.151278138,0.977047563,fenway_park,0,6
2026,MLB,CHN,CHC,Chicago Cubs,Wrigley Field,0,0.995495379,1,1,0.983999491,CHC,CHN,CHN,41074,o,g,355,357,363,400,381,363,353,16,16,11,11,11,16,16,1.018797636,0.986204386,1.289765835,0.972875178,0.994521081,0.929316938,0.963546634,1.005617619,0.995495379,0.943708122,1.088732362,0.983999491,wrigley_field,0,7
2026,MLB,CHA,CHW,Chicago White Sox,Rate Field,0,0.998456895,1,1,1.045992732,CHW,CHA,CHA,40617,o,g,330,352,372,400,372,352,335,8,8,8,8,8,8,8,1.000242472,0.936014295,0.83755976,1.082322955,1.004282832,0.977132022,0.904961228,1.031708002,0.998456895,0.957147121,0.865957439,1.045992732,rate_field,0,8
2026,MLB,CIN,CIN,Cincinnati Reds,Great American Ball Park,0,1.011314392,1,1,1.142776251,CIN,CIN,CIN,42323,o,g,328,366,379,404,370,366,325,12,12,12,8,8,8,8,1.005016446,1.00114429,0.897320569,1.169908643,1.023828745,1.020049453,0.778245151,1.136438251,1.011314392,1.007485509,0.843752921,1.142776251,great_american_ball_park,0,9
2026,MLB,CLE,CLE,Cleveland Guardians,Progressive Field,0,0.996727288,1,1,0.983694494,CLE,CLE,CLE,42489,o,g,325,348,370,405,375,350,325,19,19,19,9,9,14,14,0.998938084,0.990911841,0.817652285,1.03247118,1.013959885,1.026737094,0.951417446,0.957132697,0.996727288,0.999448299,0.867152631,0.983694494,progressive_field,0,10
